N,p_m,p_c,trn_size,iteration,generation,best_fitness,avg_fitness
100,0.05,0.02,20,0,92,-134.23149572268392,-208.2433102110269
100,0.05,0.02,20,0,93,-64.52535300326414,-230.08485682413814
100,0.05,0.02,20,0,94,-136.61544808322665,-214.4305196518032
100,0.05,0.02,20,0,95,-137.53945729601884,-193.29576385786476
100,0.05,0.02,20,0,96,-196.03920062069938,-239.44551744865484
100,0.05,0.02,20,0,97,-130.31004303683676,-220.40865903989362
100,0.05,0.02,20,0,98,-141.09772228646443,-227.19919280207714
100,0.05,0.02,20,0,99,-126.8187996428785,-213.39700792399998
100,0.05,0.02,20,0,100,-127.75981574503821,-211.18051053113865
100,0.05,0.02,20,0,101,-125.88027898781785,-218.32561310976635
100,0.05,0.02,20,0,102,-133.10405388322278,-231.77179520402802
100,0.05,0.02,20,0,103,-151.95742752749558,-220.66760982960312
100,0.05,0.02,20,0,104,-79.55333881989093,-225.11585246649807
100,0.05,0.02,20,0,105,-125.88027898781785,-215.92855163297023
100,0.05,0.02,20,0,106,-115.22167621838005,-186.94420359673902
100,0.05,0.02,20,0,107,-137.53945729601884,-231.11695970671593
100,0.05,0.02,20,0,108,-169.24428900898053,-228.12214992016888
100,0.05,0.02,20,0,109,-137.53945729601884,-212.92822342821222
100,0.05,0.02,20,0,110,-119.57105459856902,-193.2825186758918
100,0.05,0.02,20,0,111,-127.75981574503821,-220.92440733649096
100,0.05,0.02,20,0,112,-160.08991914547278,-241.2880935743923
100,0.05,0.02,20,0,113,-118.08326112068522,-202.84832892444567
100,0.05,0.02,20,0,114,-128.46262762420145,-215.89785309745977
100,0.05,0.02,20,0,115,-132.169905660283,-211.54900970164195
100,0.05,0.02,20,0,116,-126.8187996428785,-216.03460726386592
100,0.05,0.02,20,0,117,-184.0917508345343,-217.5212838916386
100,0.05,0.02,20,0,118,-120.54277630799527,-201.9610274782882
100,0.05,0.02,20,0,119,-131.23851208678758,-220.5517645757215
100,0.05,0.02,20,0,120,-137.18032973047434,-208.9666390885627
100,0.05,0.02,20,0,121,-116.17358552246078,-220.96523679476718
100,0.05,0.02,20,0,122,-135.69463863518345,-230.7995726874568
100,0.05,0.02,20,0,123,-157.41307836451878,-221.1460320106022
100,0.05,0.02,20,0,124,-129.3846820423443,-189.1970884405768
100,0.05,0.02,20,0,125,-106.57252408878007,-212.32640971828536
100,0.05,0.02,20,0,126,-128.46262762420145,-243.59440517963532
100,0.05,0.02,20,0,127,-171.88448708429138,-233.63912367941768
100,0.05,0.02,20,0,128,-127.75981574503821,-227.02393400345417
100,0.05,0.02,20,0,129,-115.22167621838005,-244.0221228892534
100,0.05,0.02,20,0,130,-131.23851208678758,-197.28981849770946
100,0.05,0.02,20,0,131,-175.4616984954482,-239.05638071802903
100,0.05,0.02,20,0,132,-132.169905660283,-203.89394204663492
100,0.05,0.02,20,0,133,-134.77722635447623,-235.54345374737218
100,0.05,0.02,20,0,134,-132.169905660283,-195.90506756348321
100,0.05,0.02,20,0,135,-131.23851208678758,-211.0300591544114
100,0.05,0.02,20,0,136,-121.2310562561766,-222.97156953258428
100,0.05,0.02,20,0,137,-133.10405388322278,-193.10077153019253
100,0.05,0.02,20,0,138,-133.10405388322278,-209.79848799427572
100,0.05,0.02,20,0,139,-106.10960958218894,-218.10785807823552
100,0.05,0.02,20,0,140,-126.8187996428785,-220.38995259469732
100,0.05,0.02,20,0,141,-137.53945729601884,-222.90302708391505
100,0.05,0.02,20,0,142,-120.54277630799527,-216.05366090759287
100,0.05,0.02,20,0,143,-189.64632301523795,-248.12069963981378
100,0.05,0.02,20,0,144,-181.97114584074512,-220.70776724875634
100,0.05,0.02,20,0,145,-158.3011387029333,-222.32689292530256
100,0.05,0.02,20,0,146,-144.76946855251722,-228.12139883493674
100,0.05,0.02,20,0,147,-134.23149572268392,-230.91842480000588
100,0.05,0.02,20,0,148,-157.41307836451878,-216.6888990560945
100,0.05,0.02,20,0,149,-126.8187996428785,-210.414391885371
100,0.05,0.02,20,0,150,-132.169905660283,-210.23791507023986
100,0.05,0.02,20,0,151,-133.10405388322278,-218.05886490949902
100,0.05,0.02,20,0,152,-126.8187996428785,-218.2940282439245
100,0.05,0.02,20,0,153,-128.46262762420145,-198.12299168426117
100,0.05,0.02,20,0,154,-157.41307836451878,-224.61417568380094
100,0.05,0.02,20,0,155,-131.23851208678758,-222.7926426734119
100,0.05,0.02,20,0,156,-125.88027898781785,-234.26107734392863
100,0.05,0.02,20,0,157,7.384226894136091,-182.31338587969532
100,0.05,0.02,20,0,158,-67.48332962798263,-222.99152649762016
100,0.05,0.02,20,0,159,-131.23851208678758,-216.61057116031702
100,0.05,0.02,20,0,160,-134.9799959983992,-215.64384844459775
100,0.05,0.02,20,0,161,-161.89412298131649,-234.3463907996219
100,0.05,0.02,20,0,162,-132.26812023536854,-211.3309387896352
100,0.05,0.02,20,0,163,-127.75981574503821,-198.3879369676097
